a bit of,一点
in safety,平安地
in search of,寻找
in short,"简而言之
"
in spite of,不管
in style," 别具风格地, 时髦地, 很成功地"
in surprise,惊异地
in the 1970s,无
in the dark,"在黑暗中, 秘密地, 不知道
"
in the day, 在白天
in the end,"最后, 终于"
in the form of,以…形式
in the future,"未来, 将来, 往后"
in the habit of,"有…的习惯,习惯于…"
in the middle of,"在...当中, 在...的中途, 在...中央"
in the open air,在户外
in the past,在过去
in the past few years,无
in this way,这样
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in trouble,"处于不幸中, 在监禁中"
in turn,"na. 挨次
"
instead of,代替
join in,"参加, 加入"
join sb.,"vi. 参加, 结合, 加入
vt. 连接, 结合, 参加, 加入
n. 连接, 结合, 接合点
"
join the army, 参军; 当兵
jump off,开始
just a moment, 等一会儿
just now,刚刚
just then," 就在这时候, 那时候; 方才"
keep a diary,v. 写日记
keep doing sth.,[网络] 继续做；坚持做某事；一直做某事
keep fit,"保持健康,健身"
keep in good health, 养生
keep sb. in good health, 养生
keep in mind,"na. 记在心里；记住；注意
"
keep in touch with,与...保持联络
keep off,"让开, 不接近"
keep out,使在外
keep quiet,保持安静
keep secrets,无
keep a secret,保守秘密
keep up with,"跟上
"
keep ... from doing sth.,[网络] 避免做；避免做某事；从某事中停下来
kind of," <口>稍微, 有点儿, 有几分"
knock at the door,敲门
knock on the door,夜晚敲门(恐怖统治的标志)；夜晚敲门(恐怖统治的标志)[亦作knock in the night]
knock into,撞上
knock over,"na. 弄倒；屈服；死；逮捕
"
know about,"知道,了解,听说过…"
later on,稍后
laugh at,"嘲笑, 漠视, 因...发笑"
lead to,"导致, 通向"
learn about,"学习,听说,得悉,了解"
learn ... by heart,"na. 记住；熟记
"
learn from,向...学习
leave a message,给某人留个信
leave ... alone, 置于不顾
leave for,"un. 到…地方去；去某地:
"
lend to,"un. 贡献:
"
less and less,越来越少
less than," 小于, 决不; 以内; 没有; 不足"
let ... down,"na. 使失望；放下；丢面子
"
let out,[网络] 阿尔都塞思想的全部整体
lie down,躺下
lie in,"在于..., 分娩, 睡懒觉"
light up,"开始吸烟, 发亮, 露喜色
"
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
"
listen to,听
live in,住进
live on,"继续生活, 以...为主食, 靠...生活"
long before,在...以前很久
long for,渴望
look after,"目送, 照顾, 关心"
look around, 四下观望; （作出选择前）进行调查; 骋目四顾; 四顾
look at,"看, 考虑, 着眼于"
look down on,"轻视, 看不起"
look for,"寻找, 期待"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look into,"窥视, 浏览, 观察
"
look like, 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
look out of,从…向外看
look up,"v. 查找；查阅；探望；看望
"
look over,"na. 浏览；检查；察看
"
look through,"看穿, 审核, 浏览, 透过...看去, 从...中显露"
lose hope, 失望
lose one's job, 失业; 丢饭碗
lose one's life,"na. 死；丢了性命
"
lose weight,体重减轻
lots of,"许多的..., 大量的..."
major in,"主修, 专攻"
make a choice,"挑选,选择"
make a decision,作决定
make a film,[网络] 拍电影；制作电影；排电影
make a fire,生火
make a living,"谋生, 挣钱度日, 维持生活"
make a mistake,犯错误
make a note of,"记录,把…记录下来"
make notes of,记录；记下
make a phone call to,无
make a suggestion,提建议
make contributions to,捐赠〔贡献〕给…
make faces, 扮鬼脸; 做鬼脸; 挤眉弄眼
make friends with,"(和某人)交友, 建立友谊"
make fun of,取笑
make it,"及时抵达, 做成"
make money,"挣钱
"
make one's way to,到...去
make one's way towards,无
make one's way through,无
make out,"na. 理解；发现；起草；证明
"
make progress,取得进步/展
make sure,确定
make the bed,铺床
make up,"na. 弥补；起草；定；签订
"
make up one's mind,"下决心, 接受, 承认"
manage to do sth., 设法做成某事
marry sb.,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
match with ...,[网络] 和……相配；相匹配；与……相称
match ... with ...,[网络] 和……相配；相匹配；与……相称
mean to do sth., 打算做；有意做
meet the needs of,满足...的需要
meet with,"偶遇, 遭受"
millions of,"成千上万的..., 无数的..."
mistake ... for ...,错认
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
mop the floor,[网络] 拖地；拖地板；擦地板
more and more,越来越多
more or less,或多或少
more than,"比...多, 超出预料, 很, 绰绰"
most of,"大多数,大部分"
move to,[计] 移到
neck and neck,并驾齐驱
neither ... nor ...,[网络] 既不……也不；两者都不；均不
neither does sb.,无
never before, 以前从未曾有过
never mind,"没关系, 不用担心"
next to,几乎
no choice but ...,无
no longer,不再
no matter how,不管如何
no wonder,不足为奇的
not at all,一点也不
not ... at all,一点也不
not only ... but also ...,[网络] 不仅……而且；不但而且；两个不仅……而且
not ... in the slightest,一点不
not ... until ...,直到...才...
nothing but,只
notice sb. do sth.,无
now and then,偶尔
now that ...,"既然..., 由于..."
of course,当然
of one's own,属于某人自己的
on a visit to,访问某人;参观某地;在…家里作客
on average, 平均起来
on board,"在船/车/飞机上, 在公共交通车辆上
"
on business,因公
on display,"陈列着,在展览"
on duty,"值班, 上班
"
on earth,"在世上, 究竟"
on fire,"起火, 非常激动"
on foot,"na. 步行；在进行中；徒步
"
on holiday,"na. 在休假中
"
on one's side,无
on sale,"廉售的, 拍卖的"
on Saturday,[网络] 在星期六；在周六；在星期天
on show,"陈列着, 展览着"
on the map,"重要的, 出名的"
on the one hand ...,在一方面
on the other hand ...,另一方面
on the playground,[网络] 在操场上；运动场上；独自坐在操场上
on the top of,在…的顶部
on the way to,在去...的路上
on one's way to,无
on watch,在值班
on weekdays, 在工作日; 在平时
on vacation,"在度假,在假期"
once a year, 一年一度
once in a while,偶尔
once more,再一次
once upon a time,从前
one after another,"接连地
"
one another,彼此
one ... another ...,彼此
one by one,一个接一个
one ... the other ...,[网络] 一个…另一个；其他中的一个；一套的
open up,"na. (打)开；割开；开发(资源)；揭示
"
or so,"大约, 或许, ...左右"
out of breath,上气不接下气
out of order,"次序颠倒, 不整齐
"
out of style,"过时,不时兴,不时髦"
out of work,"失业, 机器有毛病
"
over and over again,反复地; 再三地
over there,在那边
part of, 部分
pass away,"去世, 停止, 离去, 消逝"
pass on ... to ...,[网络] 传递给；传给；传与后代
pass the time,"na. 消磨时间；打发时间
"
pass through,"通过..., 透过..., 穿过..., 流过..."
pay attention to,注意
pay no attention to, 置之不理…; 毫不在乎…; 不问; 不在意
pay for ...,付...款
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pick out,"na. 挑选；掘出；闻出；领会
"
pick up,"v. 拾起；探出；重新开始
"
places of interest, 名胜古迹
play a joke on,戏弄某人；对…恶作剧；开…的玩笑
play a role in,在...起作用
play a trick on," 捉弄某人, 对某人恶作剧; 撮弄"
play for,"un. 反复无常地玩弄手腕；拖时间；争取
"
play the piano, 弹钢琴
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
plenty of,许多的
point out,"na. 指出
"
point to,指向
pour ... into ...,[化] 注入
practice doing sth.,[网络] 练习做某事；练习作某事；练习干某事
practice with,无
praise sb. for sth.,[网络] 称赞；因…表扬某人；因某事称赞某人
prefer ... to ...,"un. 较喜欢；宁愿:
"
prefer to do sth. rather than do sth.,无
prevent ... from ...,"阻止, 妨碍"
pros and cons,n. 利弊; 正反两方面; 优缺点; 赞成和反对的理由
protect ... from ...,保护
provide sth. for sb.,"v. 为…作准备
"
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
"
pull out,"拔出, 离开, (使)渡过难关, (使)恢复健康"
put away,"v. 把…收起来；储存
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
be on," 已经开始了, 接受打赌; 上映"
put out,"v. 扑灭；熄灭；放出；伸出
"
put ... into ...,"na. 插入；注入；(船)入港
"
put ... to use,"使用, 利用"
put up,"adj. 预先商定的
"
put up with,"忍受, 容忍
"
quarrel about,为…而争吵
quarrel with,跟...吵架
quite a few,相当多的
rather than,与其...不如...
reach down,伸手取下…
reach for,伸手去拿…
reach out to,[网络] 接触；把手伸向；联系
read a map,[网络] 看地图；看报；查阅地图
read a newspaper,无
receive ... from ...,v. 收到
refer to,"v. 查阅；提到
"
refuse to do sth.,[网络] 拒绝做某事；拒绝去做某事；拒绝干某事
regard ... as ...,把...认作
rely on,"依赖, 依靠"
remember doing sth., 记着已经做过的事
remind ... of ...,"v. 提醒
"
remind sb. to do sth.,无
reply to,回答
result from,"由...产生
"
right away,立刻
right now,就在此时
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
"
rob sb. of sth.,"v. 抢走
"
run a company,[网络] 经营一家公司；经营公司；开公司
run after,"追捕, 追求, 照顾"
run off,"na. 逃走；流出；(火车等)出轨；越轨
"
run out of,用完
rush hour,"n. （上, 下班的）高峰期"
rush out,"na. 赶制出来
"
save one's life,[网络] 挽救某人生命；挽救某人的生命；救某人的命
save up,"储蓄, 贮存"
say hello to,"向某人问候,和某人打招唿"
say to oneself,心里想到
search for,搜查
see a film, 看电影
see sb. off,"na. 送行；送别；告别；赶走
"
sell out,"卖完, 出卖, 背叛
"
send for,na. 派人去叫
send ... to ..., 发送到; 发送给; 发往
send up,"发出, 射出, 呈交, 使上升"
set an example,以身作则
set off,"na. 分；分割；划开；区划
"
set ... on fire, 激起
set the alarm clock,无
set up,"na. 建立；创立；发起；开办
"
shake hands with ...,和…握手
share ... with ...,"un. 合伙；合住；承担；跟…看法一致
"
shortly after, …之后立即
shoulder to shoulder,"肩并肩地, 齐心协力地"
shout at,对…大声喊
show interest in,对…感兴趣；对…感兴趣；对…产生(或表示)兴趣
show off,"炫耀, 卖弄, 使显眼"
show sb. around,"v. 带…参观
"
show sb. the way,[网络] 指路；带路；指引道路
show sb. sth.,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
show the ticket,无
show up,"na. 显眼；揭发；嘲笑；露面
"
shut up,"关闭, 监禁, 住口, 保藏"
side by side,"并排, 并肩"
sing sb.'s praises,无
sing sth.'s praises,无
sit down,"坐下, 占据, 参加静坐罢工(或示威)"
slow down,(使)慢下来
so as to,"使得, 以致"
so far,迄今为止
so that,所以
so ... that ...,所以
solve the problems,无
some day,来日
some time,一会儿
some ... others ...,另外的什么人
sooner or later,迟早
sound like,听起来像...
sound sleep,"熟睡,酣睡"
speak highly of,赞扬
speak of,"谈到..., 论及..."
speak to,"对...说话, 说到, 责备, 证明"
speed up,"加速
"
spend ... doing sth.,无
spend ... on sth.,[网络] 花费；把…花在；在……方面花费
stand by,"支持, 遵守, 袖手旁观, 准备行动
"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
start a club,无
start out,"出发, 动身"
start to do sth.,[网络] 开始做某事；都可以表示开始做某事；开始做某事，两者无区别
start doing sth.,[网络] 开始做某事；开始做某事，两者无区别；都可以表示开始做某事
stay away from,不在，外出；走开；不接近，不打扰；避开
stay healthy,保持健康
stay up,不睡觉
step by step,逐步地
stick to,粘住
stop doing sth.,[网络] 停止做某事；停止正在做的事；停止正在做的事情
stop ... from ...,阻止某事发生
study for,为准备(考试等)而努力学习
succeed in,在...方面成功
such a fine day,无
suffer from,"忍受, 遭受
"
sum up,"na. 〈口〉概括；总结
"
surf the Internet, 网上冲浪
take a deep breath,"na. 行深呼吸
"
take a message for sb., 给。。。捎个信儿
take a ride,"乘车,骑马"
take after,"像, 学样
"
take one's seat,就座
take part in,"参与, 参加
"
take an active part in,积极参加...
take a risk,"冒险
"
take a vacation,度假
take action,"采取行动, 提出诉讼"
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take an exam,[网络] 参加考试；应试；进行考试
take an interest in,对...感兴趣
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take care," 当心, 小心; 坚持到底"
take care of,"照顾
"
take charge of,"掌管..., 负责..., 看管..., 不受...控制
"
take different routes,无
take exercise,"做体操,做健身活动"
take hold of,握住
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take it easy,"从容, 不紧张"
take notes,作笔记
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take one's advice,无
take one's temperature,量体温
take one's time,从容不迫
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take out of,"na. 除去；要赔偿；报仇
"
take place,"na. 发生；举行
"
take pride in,以...为傲
take sb.'s place,[网络] 解构发生；就位
take medicine,"na. 吃药
"
take sth. with sb.,[网络] 携带；随身携带；带上
take the place of,"代替
"
take sb. seriously,"na. 重视；认真(想)；当真
"
take sth. seriously,"na. 重视；认真(想)；当真
"
take ... to ...,"na. 嗜好；开始；参加；逃入
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
talk about," 讨论, 谈论; 考虑（做…）; 唠; 话"
talk to sb., 同（某人）谈话; 责骂
talk with sb.,"与...交谈, 想说服"
teach oneself, 自学
teach sb. a lesson,[网络] 给…一个教训；给以教训；教训一顿
tell a lie,说谎话
tell a story,讲故事
tell ... from ..., 辨别
tell the truth,说实话
thanks for sth., 多亏
thank sb. for sth.,[网络] 感谢；为……感谢；就…而感谢
thanks to,由于
the key to, 关键是（在于）
the same as,"与...相同, 与...一致"
think about,"考虑, 回想"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think out,"na. 想透；想出
"
think over,"v. 仔细考虑
"
think up,"na. 想出；〔口语〕发明
"
thousands of,"成千上万,数千,许许多多"
three times a day,每日三次
throw about,"到处扔, 舞动"
throw around,[网络] 乱扔
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
tidy up,整理
tie up,"na. 绑；系；包扎；(船只)系泊
"
to be honest,"老实说,说实在的"
to one's disappointment,令(某人)失望的是...
to one's joy,无
to one's surprise,使某人惊奇的是
to some extent,在某种程度上
to start with,"作为开始, 首先"
to tell the truth,说实话
too much,"太多, 太高"
too ... to ...,[网络] 太……而不能；太……以致不能；用法
treat ... as ...,[网络] 对待；当作；当做
treat with,"un. 谈判；磋商:
"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
try one's best,尽力
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
try to do sth., 试着做某事; 尽力做某事
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn ... into ...,[网络] 了解
turn left,"向左转,向左拐弯"
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn out,"v. 证明；原来；到场
"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn up,"v. 朝上翻；出现
"
up and down,"上下地, 到处"
upside down,[网络] 机腹朝上；颠倒；上的姿势
use up,"na. 用完；耗尽
"
used to be, 过去是
used to do sth., 过去常常做某事
wait for,"na. 等；等待
"
wait in line,排队等候
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
walk down,"通过散步消除
"
want to do sth.,[网络] 想做某事；想要做某事；想要作某事
want sb. to do sth.,[网络] 想做某事；想要做某事；想要作某事
warn sb. of sth.,"na. 警告(某人)有危险
"
wash up,"洗手洗脸, 洗餐具"
watch a match,无
watch out for,"戒备, 提防, 密切注意"
watch TV, 看电视
welcome to ..., 欢迎…
what if,如果…那又怎么样?即使…那又有什么关系?
what's more,[网络] 而且；另外；更重要的是
what's up,[网络] 这是怎么回事
wish sb. to do sth., 希望做…
with difficulty,"困难地, 艰难地"
with great care, 小心翼翼地
with one voice,异口同声地
with one's own eyes, 亲眼
with pleasure,"愉快地, 愿意"
with the help of ...,"借助于…,在…的帮助下"
with the purpose of ...,为了...
without permission,"未经许可
"
work as ...,"担任,从事"
work on,"继续工作, 设法说服, 影响"
wonder if ...,[网络] 想知道是否；不知道；怀疑是否
work for ...,"为…工作,致力于…"
work out,"v. 作出；拟定；制定；计划一下
"
worry about,"焦虑..., 为...而操心/担心"
would like to do sth.,[网络] 愿意做某事；想要做；想做
would love to do sth.,无
would rather ... than ...,"宁愿,与其…不如…"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
write to sb.,给…写信
year after year,"年复一年地, 年年, 每年"
year by year,"年年, 每年"
