met,"meet的过去式和过去分词
"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
above,"prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
those,pron. 那些
ice cream,"冰淇淋
"
us,"pron. 我们
"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
wait,"n. 等待, 等候
vt. 等候, 期待, 延缓, 伺候, 推迟
vi. 等, 等候, 耽搁, 伺候用餐
"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
hurry up,"赶快, 匆匆完成"
dropped,a. 抛踢球得分的
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
email,n. 电子信函
ran,run的过去式
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
er,[医] 铒(68号元素)
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
how much,"多少, 什么价钱, 到什么程度"
cheese,"n. 乳酪
"
any,"a. 任何的
pron. 任何"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
over there,在那边
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
kilo,"n. 千
"
a lot of,许多的
weekend,"n. 周末, 周末休假"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
British,"a. 英国的
n. 英国人, 英国英语"
museum,n. 博物馆
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
best,"a. 最好的
adv. 最好地
n. 最好的人"
took,take的过去式
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
along,"adv. 平行地, 向前
prep. 沿着"
river,"n. 河, 江
"
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
twenty,"num. 二十, 二十个"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
of,"prep. 的, 属于"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
arrive,"vi. 到达, 抵达"
for,"prep. 为, 因为, 至于
conj. 因为
"
mountain,"n. 山, 山脉, 大堆"
with,"prep. 和...在一起, 以, 由于"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
pair,"n. 一双, 一对, 一副
v. (使)成对"
shorts,"n. 短裤, (美)男人的短衬裤
"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
What's the matter?,"na. 发生了什么事?
"
took,take的过去式
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
That's OK.,[网络] 不用了；可以；没有关系
sports,"n. (英)运动会, 运动的, 适用于运动的, 运动会的, 与运动会有关的"
hey,interj. 嗨
nineteen,"num. 十九, 十九个"
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
fifteen,"num. 十五, 十五个"
begin,"v. 开始
"
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
all right,"好, 顺利, 良好的, 正确的"
thirteen,"num. 十三, 十三个"
fourteen,"num. 十四, 十四个"
sixteen,"num. 十六, 十六个"
seventeen,"num. 十七, 十七个"
eighteen,"num. 十八, 十八个"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
forty,"num. 四十, 四十个"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
thirty,"num. 三十, 三十个"
fifty,"num. 五十, 五十个"
sixty,"num. 六十, 六十个"
seventy,"num. 七十, 七十个"
eighty,"num. 八十, 八十个"
ninety,"num. 九十, 九十个"
happily,"adv. 幸福地, 快乐地, 幸好"
many,"n. 多数, 多数人
a. 许多的
pron. 许多"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
really,"adv. 实际上, 真实地, 实在"
good at, 擅长…
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
goalkeeper,n. 守门员
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
swam,swim的过去式
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
healthy,"a. 健康的, 有益健康的, 卫生的
"
a lot,"大量, 很, 非常"
useful,"a. 有用的, 有益的
"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
presenter,"n. 节目主持人, 奉献者, 提出者
"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
deaf,"a. 聋的
"
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
her,"pron. 她的, 她"
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
firefighter,n. <美>消防队员
hot dog,"n. <口>热狗（一种中间夹有熏红肠并配有芥菜, 作料等的面包）"
sausage,"n. 香肠, 腊肠"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
go to bed,"上床, 睡觉"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
join,"vi. 参加, 结合, 加入
vt. 连接, 结合, 参加, 加入
n. 连接, 结合, 接合点
"
skipping rope, 跳绳用绳子
coffee,"n. 咖啡, 咖啡色
"
tea,"n. 茶, 茶叶
"
always,"adv. 总是, 始终"
bell,"n. 铃, 钟
"
rang,ring的过去式
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
into,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
bored,a. 无聊的；烦人的；无趣的
sad,"a. 忧愁的, 悲哀的"
woof,"n. 纬线, 织物, 基本成分, 低吠声, 低鸣声"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
angry,"a. 生气的, 愤怒的"
ill,"n. 疾病, 坏事, 罪恶, 灾难
a. 生病的, 邪恶的, 不吉利的, 敌意的, 不良的, 不顺利的
adv. 有害地, 不幸地, 几乎不"
told,tell的过去式和过去分词
better,"a. 较好的
adv. 比较好"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
tired,"a. 疲累的, 疲乏的, 厌倦的"
won,win的过去式和过去分词
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
smell,"n. 味道, 气味, 嗅觉, 嗅, 臭味, 气息
vt. 闻, 探出, 察觉, 发出...的气味
vi. 嗅, 散发气味, 发臭"
kitchen,"n. 厨房, 全套炊具
"
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
living room,"客厅, 起居室"
hide-and-seek,藏猫猫
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
sofa,n. 沙发
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
grass,"n. 草, 草原, 牧场
"
baby,"n. 婴孩
"
dangerous,"a. 危险的
"
