a collection of,"一批,一组"
nickel,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
niece,"n. 侄女, 甥女"
nightly,"a. 每夜的, 夜间的
adv. 每夜"
nitrogen,"n. 氮
"
noun,n. 名词
oceanic,"a. 海洋的, 产于海洋的, 在海洋中生活的, 广阔的"
odor,"n. 气味, 香味, 名声, 意味
"
odorous,"a. 芬芳的, 臭的, 有气味的"
oily,"a. 油的, 油滑的, 油嘴的
"
olive,"n. 橄榄, 橄榄树, 橄榄色, 橄榄枝
a. 黄绿色的, 黄褐色的, 橄榄色的"
Olympiad,"n. (四年一次的)奥林匹克世界运动大会, 四年周期"
Olympic,"a. 奥林匹亚的, 奥林匹斯山的, 强有力的, 巨大的"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
opera,n. 歌剧
orchestra,"n. 管弦乐队, 乐队演奏处"
ore,"n. 矿石
"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
"
ox,n. 牛
oxide,"n. 氧化物
"
oxygen,"n. 氧
"
paddy,"n. 稻, 谷, 爱尔兰人, 警察
"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
painter,"n. 画家, 油漆匠
"
pair,"n. 一双, 一对, 一副
v. (使)成对"
parish,"n. 教区, 堂区
"
parole,"n. 假释, 誓言, 释放宣言
vt. 宣誓后释放, 使假释出狱"
parrot,"n. 鹦鹉, 应声虫
vt. 学舌, 机械地模仿"
pasta,"n. 意大利面食
"
pastime,"n. 消遣, 娱乐, 游戏"
pastry,"n. 油酥点心, 面粉糕饼"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
paw,"n. 爪
v. 以蹄扒地, 用爪子抓, 拼命抓, 向...乱抓, 笨拙地使用, 费力地前进"
pea,"n. 豌豆, 似豌豆的东西"
peach,"n. 桃子, 桃树, 桃色, 美人儿, 极好的事物
vt. 告发
vi. 告密, 检举"
peanut,"n. 花生, 小人物, 极小的数额
a. 渺小的, 微不足道的"
peg,"n. 钉, 桩, 栓, 藉口, 销子, 借口
vt. 钉木钉, 固定, 限制, 使受约束
vi. 坚持不懈地奋力于, 疾行"
penguin,"n. 企鹅, 空军地勤人员"
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
petitioner,"n. 请愿人, 诉愿人, (离婚案)原告
"
petrochemical,"a. 石化的, 石化制品的, 岩石化学的
n. 石化产品"
petrol,"n. 汽油
"
petroleum,"n. 石油
"
pianist,"n. 钢琴家, 钢琴演奏者"
pigeon,"n. 鸽子, 易上当受骗的人, 年轻女子"
pill,"n. 药丸, 弹丸, 屈辱, 胡说
v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
pillar,"n. 柱子, 栋梁, 台柱, 重要的支持者
"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
pint,"n. 品脱(干量或液量的单位)
"
pistol,"n. 手枪, 信号枪
vt. 以手枪杀死(或伤害)"
pity,"n. 遗憾, 同情, 怜悯, 憾事, 可惜
vt. 同情, 怜悯
vi. 觉得可怜, 有同情心"
pizza,n. 比萨饼
plural,"n. 复数
a. 复数的, 两个以上的"
pond,"n. 池塘
v. 筑成池塘"
Pope,"n. 罗马教皇, 主教"
porcelain,"n. 瓷器, 瓷
a. 瓷制的"
porch,"n. 门廊, 走廊"
pork,"n. 猪肉
"
porridge,"n. 粥, 糊"
porter,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员
"
postcard,n. 明信片
pot,"n. 盆, 罐, 壶, 坩埚, 奖杯
vt. 装入盆中, 在锅中煮, 随手射击
vi. 随手射击"
pottery,"n. 陶器, 陶器厂
"
poultry,n. 家禽
preposition,"n. 前置词, 介词"
priest,"n. 祭司, 牧师, 神父, 神质人员, 僧侣, 泰斗"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
pronoun,n. 代词
propaganda,"n. 宣传, 宣传活动
"
protocol,"n. 草案, 礼仪, 协议
v. 拟定
"
pudding,n. 布丁
pumpkin,n. 南瓜
quart,"n. 夸脱
"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
refrigeration,"n. 冷却, 冷藏, 冷冻
"
refrigerator,"n. 电冰箱, 冷藏库
"
relaxation,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
retarded,a. 智力上迟钝的
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
rib,"n. 肋骨, 肋状物, 笑话
vt. 装肋状物于, 戏弄"
ridge,"n. 脊, 山脊, 山脉
"
rifle,"n. 来复枪, 步枪
vt. 用步枪射击, 抢夺
vi. (抱有不良意图)迅速翻查"
rig,"n. 装备, 帆装
vt. 装配, 装扮, 给船装帆, 垄断, 操纵"
rob,"v. 抢夺, 抢掠, 剥夺"
robbery,"n. 抢掠, 抢夺
"
rod,"n. 竿, 笞鞭, 小枝
"
rug,"n. 小块地毯, 揭露某人"
sadden,"vt. 使忧愁, 使悲哀
vi. 忧愁, 悲哀"
salad,n. 色拉
salmon,"n. 鲑鱼, 大麻哈鱼
"
salon,"n. 大会客室, 大厅, 客厅, 交谊室, 沙龙, 美术展览馆, 画廊, 美容院, 发廊"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
sandy,"a. 沙的, 沙地的, 多沙的"
sauce,"n. 酱油, 调味汁, 酱
vt. 给...调味, 使增加趣味"
sausage,"n. 香肠, 腊肠"
scissors,"pl. 剪刀
"
sergeant,"n. 警察小队长, 军士"
shark,"n. 鲨鱼, 骗子
v. 诈骗"
sheep,"n. 羊, 胆小者"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
shrimp,"n. 虾, 小虾, 矮子
vi. 捕小虾"
silicon,"n. 硅
"
silk,"n. 丝, 绸, 绸锻类, 丝织品
a. 丝的, 丝织的"
silky,"a. 丝的, 柔滑的"
silly,"a. 愚蠢的, 糊涂的"
skeleton,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸
a. 骨骼的, 概略的, 基层的, 骨干的
"
slaughter,"n. 残杀, 屠杀, 杀戮
vt. 残杀, 屠杀, 亏本出售"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
smoky,"a. 冒烟的, 满是烟的, 熏脏的, 烟灰色的"
snail,"n. 蜗牛, 行动迟缓的人, 脑筋迟钝的人, 蜗形凸轮
vt. (蜗牛般)缓慢地打发(时间)
vi. 缓慢移动"
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
snob,"n. 势利的人, 假内行"
snobbish,"a. 自命不凡的, 势利的"
soap,"n. 肥皂, 阿谀
vt. 以肥皂洗, 阿谀
"
sob,"vi. 啜泣, 呜咽
vt. 哭诉, 哭得使
n. 啜泣, 呜咽"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
soccer,n. 英式足球
soda,"n. 苏打, 碳酸水
"
sodium,"n. 钠
"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
souvenir,n. 纪念品
spade,"n. 铲子, 锄, 铲刀, 黑桃
vt. 以锄掘, 把...弄实抹平
vi. 铲"
spaghetti,n. 意大利面条
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
spider,"n. 蜘蛛, 设圈套者
"
spoon,"n. 匙, 调羹, 匙形工具
vt. 以匙舀起, 调情, 使成匙状"
spoonful,"n. 一匙
"
sprawl,"vi. 伸开手足躺, 爬行, 蔓生, 蔓延
vt. 懒散地伸开, 使蔓生, 使不规则地伸展
n. 伸开手足躺卧姿势"
squad,"n. 班, 小队, 小集团
vt. 编成班"
stair,"n. 梯级, 楼梯, 阶梯"
steak,"n. 牛排, 鱼排, 肉排"
steward,"n. 管理人, 招待员, 管家, 乘务员
"
stewardess,"n. 空中小姐, 女管理人, 女管家"
stocking,"n. 长袜
"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
stoop,"n. 佝偻, 屈从, 弯腰
vi. 弯下, 屈从, 弯腰, 堕落
vt. 使屈从, 使弯曲"
sulfur,"n. 硫, 硫磺
vt. 用硫磺处理"
tack,"n. 平头钉, 大头钉, 粗缝针脚, 行动方针, 食物
vt. 以大头针钉住, 附加"
tanker,"n. 坦克手, 油船, 空中加油飞机, 运油飞机, 油槽/水槽汽车
"
tedious,"a. 沉闷的, 冗长乏味的"
tennis,n. 网球
tertiary,"a. 第三的, 第三位的, 第三产业的
n. 第三修道会会员, 第三纪
第三的; 三代的(指无机盐)"
thermometer,"n. 温度计, 体温计
"
thief,"n. 小偷, 贼
"
thigh,"n. 大腿, 股
"
thunder,"n. 雷, 雷声
vi. 打雷, 轰隆地响, 怒喝
vt. 大声喊出, 轰隆地发出"
thunderous,"a. 将要打雷的, 像打雷的"
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
tickle,"n. 胳肢, 痒
vt. 胳肢, 使发痒, 使快乐, 逗乐
vi. 觉得痒, 使人痒"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
"
timber,"n. 木材, 木料
vt. 用木材建造"
tobacco,"n. 烟草, 香烟
"
toe,"n. 足趾, 趾部, 脚趾
vt. 以趾踏触, 用脚尖走
vi. 动脚尖"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
torch,"n. 火把, 启发之物
"
tornado,"n. 旋风, 龙卷风, 大雷雨"
tract,"n. 大片土地, 地带, 小册子
"
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
transistor,"n. 晶体管
"
trauma,"n. 外伤, 损伤
"
traumatic,"a. 外伤的, 创伤的
"
troop,"n. 军队, 一群, 一队
vi. 群集, 结队, 成群而行"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
turtle,n. 海龟
ugliness,n. 丑陋
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
unanimous,"a. 意见一致的, 无异议的"
underwear,n. 内衣
upstairs,"a. 楼上的
adv. 在楼上, 向楼上, 处于更高地位
n. 楼层"
uranium,"n. 铀
"
valve,"n. 活瓣, 阀, 活门
v. 装阀, 用阀调节"
velvet,"n. 天鹅绒
a. 天鹅绒的"
vendor,"n. 小贩, 卖主, 自动售货机
"
vent,"n. 排气口, 出口, 通风孔, 发泄
vt. 发泄, 排出, 给...开孔"
verb,"n. 动词
"
vinegar,"n. 醋, 尖酸刻薄
vt. 加醋于"
volt,"n. 伏特
"
voltage,"n. 电压, 伏特数
"
wagon,"n. 四轮马车, 货车
"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
watt,"n. 瓦(特)
"
wedge,"n. 楔子, 楔形物, 起因, 导致分裂的东西
vt. 楔住, 挤进, 楔入
vi. 楔入, 挤进"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
wharf,"n. 码头
vt. 卸在码头上, 靠码头
vi. 靠码头, 入坞"
whisky,"n. 威士忌酒, 轻便马车
"
wholly,"adv. 完全地, 整个, 统统, 全部
"
wicked,"a. 坏的, 邪恶的, 缺德的, 刻毒的, 恶劣的, 淘气的"
widen,"vt. 弄宽, 加宽, 扩大
vi. 变宽, 扩大"
width,"n. 宽度, 宽广, 广博
"
wolf,"n. 狼, 残忍贪婪之人, 极度穷困
vt. 狼吞虎咽, 大吃"
worm,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆
vi. 蠕行, 慢慢前进
vt. 使蠕行, 慢慢地走, 除虫
"
wretched,"a. 可怜的, 不幸的, 卑鄙的"
yacht,"n. 快艇, 游艇
vi. 驾游艇, 乘游艇"
yard,"n. 码, 庭院, 工场
"
yearly,"a. 每年的, 一年一度的
adv. 一年一次, 每年"
yoga,n. 瑜珈
yoghurt,"n. 酸乳, 酸奶"
zoological,a. 动物学的
zoologist,"n. 动物学家
"
zoology,"n. 动物学, 动物区系
"
zoom,"n. 急速上升, 变焦摄影, 嗡嗡声
vi. 猛增, 急速上升, 摄象机移动
vt. 使摄象机移动
"
aberration,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差
"
absenteeism,"n. 经常无故缺席, 旷职, 旷工, 旷课
"
absent-minded,"adj. 茫然的
"
accidentally,"adv. 偶然地, 意外地"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
adrift,"adv. 漂流地, 漂浮着, 随波逐流地
a. 漂浮着的"
affinity,"n. 吸引, 姻亲关系, 类同
"
afflict,"vt. 使苦恼, 折磨"
airbag,[机] 空气囊
airtime,电影或电视节目开始的时间
airway,"n. 空中航线, 风道
"
alumnus,"n. 男毕业生, 男校友"
Antarctic,"a. 南极的, 南极地带的
n. 南极地区"
Antarctica,n. 南极洲
apparel,"n. 衣服, 外表
vt. 使穿衣, 装饰"
Arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
autism,"n. 孤独症
"
ballot,"n. 投票, 投票用纸, 抽签
vi. 投票, 抽签
vt. 投票选出, 拉选票"
basics,"n. 最简单但最重要的部分, 基本, 基础训练"
bearded,"a. 有须的, 有胡子的"
bellboy,n. 侍者
bestow,"vt. 授予, 使用, 贮藏, 留宿"
binding,"n. 装订
"
blemish,"n. 污点, 缺点
vt. 弄脏, 玷污, 损害"
boulder,"n. 大圆石
"
branding,"[法] 刺字刑, 烙印"
brushstroke,"n. 一笔, 一画, 绘画的技巧"
bulletproof,a. 防弹的
burrow,"n. 洞穴, 藏身处
vi. 掘洞穴, 躲藏
vt. 掘, 打洞"
canon,"n. 教会法规, 圣典, 准则, 标准, 教士
"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
"
chalkboard,n. 黑板
chiefly,adv. 主要地
cliquish,a. 小集团的
cod,"n. 鳕, 欺骗, 愚弄
v. 欺骗, 愚弄"
collateral,"a. 并行的, 附随的, 旁系的
n. 旁系亲属, 担保品"
combined,a. 结合的；组合的
combustion,"n. 燃烧, 骚动
"
compatriot,"n. 同国人
a. 同国的, 同胞的"
composure,"n. 镇静, 沉着"
conductive,"a. 传导性的, 有传导力的, 传导的
"
conversely,"adv. 相反, 逆, 颠倒, 反题, 反"
debit,"n. 借方, 借
vt. 记入借方"
decency,"n. 得体, 礼貌, 正派
"
decode,"vt. 解码, 译解
"
deflate,"vt. 放气, 抽出空气, 使缩小
vi. 缩小"
deflation,"n. 放气, 缩小, 通货紧缩
"
devoted,"a. 投入的, 深爱的"
disconnect,"vt. 使分离, 使不相连, 拆开
vi. 断开
"
discretionary,[计] 选择的
dismissive,a. 轻视的
disproportionate,a. 不成比例的
dissenter,"n. 持异议者, 不同意者, 不顺从国教者"
distinguished,"a. 卓著的, 著名的"
disturbing,"a. 引起烦恼的, 令人不安的"
dreamlike,"a. 梦一般的, 梦幻的"
drone,"n. 雄蜂, 懒惰者, 嗡嗡的声音, 无人驾驶飞机(或船)
vi. 嗡嗡作声, 混日子
vt. 低沉地说"
egalitarian,"a. 平等主义的
n. 平等主义"
elixir,"n. 炼金药, 不老长寿药, 万能药
"
empathy,"n. 移情作用, 共鸣
"
encrypt,[计] 加密
engaged,"a. 忙碌的, 使用中的"
enshrine,"vt. 入庙祀奉, 铭记"
fakery,"n. 伪造, 赝品, 假货, 伪装, 捏造
"
faraway,"a. 遥远的, 恍惚的, 出神的"
farsighted,"a. 能看到远处的, 有先见之明的, 远视的
"
firmly,"adv. 坚固, 坚定, 断然"
forbidden,"a. 被禁止的, 严禁的
forbid的过去分词"
frequently,"adv. 频繁, 经常地"
fruitless,"a. 不结果的, 不长果实的, 无子的"
futurist,"n. 未来派画家, 未来主义者"
futuristic,a. 未来派的
geothermal,"a. 地温的, 地热的"
glimmer,"n. 一丝光线, 微光, 少许
vi. 发微光"
goggles,"n. 护目镜, 风镜
"
gravitate,"vi. 被重力吸引, 沉下, 下降
vt. 使受重力吸引"
guarded,"a. 被防护着的, 被监视着的, 警戒着的"
guidebook,"n. 指南, 手册, 要览"
guideline,"n. 指导路线, 方针, 指标
"
halo,"n. 晕轮, 光圈, 晕状物, 荣光
vt. 使有晕轮, 围以光环
vi. 成晕轮"
hatchling,n. 人工孵化的鱼苗或小鸟
haunted,"a. 常出现鬼的, 闹鬼的"
haunting,"a. 常浮现于脑海中的, 不易忘怀的"
headcount,"n. 点人头数总人数, 职员总数"
high-profile, 鲜明的姿态
holistic,
hotspot,n. 热区；热点
humanistic,"a. 人本主义的, 人道主义的
"
hunch,"n. 肉峰, 预感, 大块
vt. 弯腰驼背, 预感到, 耸肩
vi. 向前移动, 隆起"
hyperlink,[计] 超级链接
impoverish,"vt. 使贫穷, 耗尽...的力气"
impressionism,"n. 印象主义, 印象派"
imprint,"vt. 印, 铭刻
n. 印, 印记, 特征, 痕迹, 版本说明"
inanimate,"a. 失去知觉的, 没生命的, 无精打采的
"
incalculable,"a. 无法计数的, 无数的, 不可预料的"
incremental,"a. 增加的, 增值的
"
indefinitely,adv. 无期限地
indiscriminate,"a. 无差别的, 任意的, 杂乱的
"
injustice,"n. 不公平, 非正义的行为
"
insecure,"a. 不安全的, 不牢靠的, 不坚固的, 不稳定的"
instill,"vt. 滴注, 慢慢地灌输"
insurer,"n. 保险公司
"
intercept,"n. 截取, 妨碍, 截距
vt. 拦截, 阻止, 截取"
interconnect,vt. 使互相连接
intimidating,"vt. 恐吓, 威胁( intimidate的现在分词)"
introspect,"vt.vi. 进行反省
"
inventive,"a. 善于创造的, 发明的"
irreversible,"a. 不可逆的, 不可改变的, 不能倒置的, 不能翻转的, 不能倒转的, 不可撤销的
"
jogger,n. 慢跑者；[印刷]撞纸机
justifiable,"a. 可辩解的, 可证明的, 有理的
"
lament,"n. 悲叹, 悔恨, 恸哭, 挽歌, 悼词
vt. 哀悼
vi. 悔恨, 悲叹"
lemming,n. 旅鼠
lesser,"a. 较少的, 较小的, 次要的"
lighten,"vt. 照亮, 点亮, 减轻, 使轻松, 闪出
vi. 发亮, 打闪, 变轻"
lighter,"n. 点火者, 点灯工人, 打火机, 驳船
vt. 以驳船搬运"
lighting,"n. 照明, 照明设备, 舞台灯光"
lightly,"adv. 轻轻地, 少许, 不费力地"
linear,"a. 线的, 直线的, 线状的
"
locust,"n. 蝗虫, 蚱蜢, 蝉"
logistics,"n. 后勤学, 后勤
"
lousy,"a. 污秽的, 恶心的, 生虱的"
malfunction,"n. 故障, 失灵, 疾病
vi. 发生故障, 不起作用
"
marginalize,"vt.使处于社会边缘,使脱离社会发展进程, 忽视,排斥"
marginally,"adv. 记在页边, 有旁注, 边缘, 边沿地区, 边际, 限界, 勉强够格, 无关紧要, 少量"
marked,"a. 有记号的, 显著的, 醒目的
"
Medicaid,"n. 医疗补助方案, 医疗补助项目
"
meltdown,"[经] 销毁(货币等), 变卖(财产)"
merciless,"a. 无慈悲心的, 残忍的"
millennium,"n. 千禧年, 一千年"
millisecond,"n. 毫秒
"
misguided,a. 被误导的
misinterpret,vt. 曲解
mobility,"n. 可动性, 流动性, 机动性
"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
mower,"n. 刈草的人, 刈草机"
multitask,"n. 多重任务
vt. 使处理多重任务"
nanotechnology,"n. 纳米技术, 毫微技术; 纤技术"
needless,"a. 不需要的, 不必要的"
nonprofit,"a. 非赢利的, 无利可图的
"
occupied,a. 已占用的；使用中的；无空闲的
organized,"a. 有组织的, 组织起来的"
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
outpace,"vt. 超过...速度, 赶过"
outsource,vt. 把…外包
outweigh,"vt. 比...重, 比...重要, 比...有价值"
overcrowd,"vt. 容纳过多的人, 使过度拥挤"
overestimate,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
overseer,"n. 监督, 工头
"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
overview,"n. 概述, 概观, 总的看法
"
paternal,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的
"
paternity,"n. 父亲身份, 父系血统, 创始人(身份), 来源, 出处
"
peon,"n. 劳工, 短工, 马夫, 劳役犯, (土著)警察, 勤杂工
"
periodically,"adv. 定期, 循环, 间歇, 周期, 定期刊行, 期刊"
perishable,"a. 易腐坏的, 会枯萎的, 易毁灭的, 不经久的
n. 易腐坏的东西"
pinpoint,"n. 极小之物, 针尖, 立锥之地, 精确位置
vt. 精确地找到, 准确地轰炸, 刺穿, 准确描述, 使突出, 强调
a. 针尖的, 极微的, 精确的, 详尽的, 精确定位的"
postdoctoral,a. 博士后的
postgraduate,"a. 大学毕业后的, 大学研究院的
n. 研究生"
predictive,"a. 预言性的, 成为前兆的"
predictor,"n. 预言者
"
predominantly,"adv. 主要地, 显著地, 大多数地, 突出地"
prepaid,a. 先付的
pretax,a. 税前的
prioritize,"vt. 按优先次序列出, 优先考虑"
proactive,a. 〈心理〉前摄的
procrastination,"n. 拖延, 因循, 耽搁
"
properly,"adv. 适当地, 相当地"
proportionate,"a. 相称的, 成比例的, 适当的
vt. 使相称, 使成比例"
punitive,"a. 刑罚的, 惩罚性的
"
rationalize,"vt. 使合理, 合理地处理, 使有理化
vi. 合理地思考"
rationing,"n. 定量配给
"
refreshing,"a. 使清爽的, 有精神的, 爽快的"
relive,"vi. 再生, 复活
vt. 再体验"
reminiscence,"n. 回想, 回忆, 怀旧, 话旧"
reminiscent,"a. 回忆的, 怀旧的
n. 往事叙述者, 回忆录作者"
repossession,"n. 取回
"
revitalization,"[医] 复苏, 回生, 复新"
revolutionize,"vt. 向...鼓吹革命, 使发生革命性剧变"
rewrite,"vt. 重写, 改写, 改写新闻, 书面答复
vi. 修改旧作
n. 改写的作品
"
robotics,"[计] 机器人学, 自动机工程学"
salient,"a. 显著的, 突出的, 跳跃的
n. 凸角, 突出部分"
satisfied,a. 感到满意的
scattered,"a. 分散的, 散乱的
"
sedentary,"a. 久坐的, 坐惯的, 定栖的
"
sever,"vt. 切断, 脱离, 分开, 使分离, 断绝, 中断
vi. 断, 裂开"
severely,"adv. 严格, 尖锐, 严肃, 严重, 严厉, 朴素"
sewage,"n. 脏水, 污水
"
shadowy,"a. 有影的, 暗黑的, 朦胧的, 虚幻的"
shale,n. 页岩
short-sighted, [医]近视的
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
soybean,"n. 大豆
"
spotless,"a. 无脏污的, 无缺点的, 无可挑剔的"
standstill,"n. 停止, 停顿
"
subprime,"a. 准一流的, 近乎头等的; 准最低贷款利率的"
subsequently,"adv. 后来, 随后"
substandard,"a. 标准以下的, 不合规格的
"
suited,a. 适合的
supernatural,"a. 超自然的, 神奇的
"
superpower,"n. 超级强权, 超级大国
"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
taxpayer,"n. 纳税人
"
template,"n. 样板, 模板, 垫木
"
tenancy,"n. 租用, 租赁
"
theoretician,n. 理论家
thinker,"n. 思想者, 思想家"
toddler,"n. 蹒跚行走的人, 学步的小孩, 学步的幼儿, (非正式)信步走的人"
savvy,"v. 理解, 领悟
n. 理解能力, 机智, 悟性"
transact,"vt. 办理, 处理
vi. 作交易, 谈判"
trophy,"n. 战利品, 奖品
vt. 用战利品装饰"
trustworthy,"a. 可信赖的
"
unaware,"a. 未认识到的, 不知道的
"
unconventional,"a. 不依惯例的, 非传统的, 非常规的"
undocumented,"a. 无正式文件的, 无事实证明的"
unexpected,"a. 料想不到的, 突然的, 意外的
"
unfair,"a. 不公平的, 不正直的, 不正当的
"
unfamiliar,a. 不熟悉的
unfinished,a. 未完成的
unforeseen,a. 未预料的
unfounded,"a. 没有事实根据的, 没有理由的, 虚幻的, 未建立的
"
united,"a. 联合的, 团结的, 一致的, 和睦的
"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
unnecessary,a. 不必要的
unpredictable,a. 不可预知的
unthinking,"a. 欠考虑的, 不留心的, 无思考能力的"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
unwholesome,"a. 不卫生的, 不适合健康的, 有害身体的, 腐败的
"
unwittingly,adv. 不知情地；不知不觉地；不经意地
unworthy,"a. 不值得的, 不相称的"
upheaval,"n. 举起, 隆起, 大变动, 剧变"
vengeance,"n. 复仇, 报仇
"
versed,"a. 熟练的, 精通的"
viewpoint,n. 观点
warm-hearted,"a. 热烈的, 热心的, 富有同情心的, 热情的"
whimsical,"a. 怪念头多的, 反复无常的, 古怪的, 异想天开的"
wrong-headed,"a. 执迷不悟的, 固执错误的"
