and,"conj. 和, 与
"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
black,"n. 黑色, 黑颜料
a. 黑色的"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
colour,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
yellow,"n. 黄色
a. 黄色的"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
ice cream,"冰淇淋
"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
bike,"n. 自行车, 脚踏车"
bus,"n. 公共汽车
"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
car,"n. 汽车, 客车
"
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
elephant,n. 象
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
man,"n. 男人, 人类, 人
vt. 为...配备人手, 操纵, 使振奋
"
men,pl. man的复数
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
our,pron. 我们的
panda,"n. 大熊猫, 小熊猫"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
tiger,"n. 老虎, 虎, 凶暴的人"
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
lovely,"a. 可爱的, 有趣的"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
sorry,"a. 难过的, 悲哀的, 遗憾的"
toy bear,无
biscuit,"n. 饼干
"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
breakfast,n. 早餐
child,"n. 孩子, 产物, 追随者
"
children,"pl. 孩子, 孩子们"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
some,"pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的"
too,"adv. 也, 非常, 太"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
we,pron. 我们
at home,"在家, 在本地, 在国内, 熟悉"
come in,"进来, 到达, 流行起来, 当选, 到手
"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
worker,"n. 工人, 劳动者
"
birthday,n. 生日
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
dear,"n. 亲爱的人
a. 亲爱的, 昂贵的, 严重的, 急迫的
interj. 啊
adv. 深爱地, 高价地"
for,"prep. 为, 因为, 至于
conj. 因为
"
how old, 几岁
noodle,"n. 面条, 笨蛋"
to,"prep. 到, 向, 趋于
adv. 向前"
bye,"interj. 再会, 回头见
"
cow,"n. 母牛, 母兽
vt. 威胁"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
grass,"n. 草, 草原, 牧场
"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
horse,"n. 马, 骑兵, 脚架
vi. 骑马, 取笑
vt. 使骑马, 系马于"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
pig,"n. 猪, 猪肉, 贪婪的人, 猪一样的人
v. 生小猪, 象猪般地生活"
sheep,"n. 羊, 胆小者"
sheep,"n. 羊, 胆小者"
stone,"n. 石头, 宝石, 果核, 纪念碑, 结石
vt. 投扔石子, 铺石头
a. 石的, 石制的, 完全的"
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
feet,"pl. 脚
n. 尺"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
day,"n. 天, 日子, 白天, 工作日
"
do,"v. 做, 进行, 完成"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
photo,"n. 相片, 照片, 逼真的描绘
v. 照相
a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
tea,"n. 茶, 茶叶
"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
afraid of, 害怕
bad,"a. 坏的
n. 坏
adv. 坏地"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
there,adv. 在那里
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
