mouse,"n. 老鼠, 胆小羞怯的人, 鼠标
vi. 捕鼠, 窥探
vt. 探出
"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
walk by,[网络] 走过；路过；在…旁边走过
wake ... up,"na. 同“wake”；叫醒；醒来；振作起来
"
some day,来日
quietly,"adv. 安静地, 沉着地, 秘密地"
weak,"a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的
"
loudly,"adv. 高声地, 大声地, 吵闹地"
let ... go,"v. 放手；解雇；松手；忽视
"
the next day, 第二天
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
sadly,"adv. 悲痛地, 悲惨地, 悲伤地, 说来遗憾"
just then," 就在这时候, 那时候; 方才"
soon,"adv. 不久, 早, 快, 宁可"
happily,"adv. 幸福地, 快乐地, 幸好"
from then on,从那时起
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
hit,"n. 打击, 打, 冲撞, 讽刺
vt. 打, 打击, 碰撞, 打中, 袭击, 偶然碰上
vi. 打, 打中, 打击, 碰撞, 偶然碰上
"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
quickly,adv. 很快地
pour ... into,[化] 注入
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
never,"adv. 从不, 决不, 不曾
"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
put ... in order,整理，整顿
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
bad,"a. 坏的
n. 坏
adv. 坏地"
sleepy,"a. 困乏的, 欲睡的"
last night,昨晚
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
go into,"进入, 加入, 探究, 变得, 进入...状态
"
slowly,"adv. 慢慢地, 迟缓地"
badly,"adv. 严重地, 恶劣地, 极度地"
healthy,"a. 健康的, 有益健康的, 卫生的
"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
a little,"一些, 一点点, 一点儿, 稍微, 些许"
a few,"几个, 少数, 一些"
at a time,"每次, 在某时"
cola,"结肠, 冒号, 科朗
"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
road,"n. 路, 道路, 公路, 途径, 方法
"
safety,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
safely,"adv. 安全地, 确实地"
must,"n. 必须, 未发酵葡萄汁, 绝对必要的事物
aux. 必须"
zebra crossing,斑马线
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
look out for,"当心…,留神…,提防…"
easily,"adv. 容易地, 轻易地, 流利地"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
Children's Day,"n. 儿童节(基督教会浸礼的节日,通常在六月的第二个星期日)"
clown,"n. 小丑, 乡下人"
appear,"vi. 出现, 显得, 来到
"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
begin,"v. 开始
"
put on,"na. 假话
"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
learn,vt. 学习；认识到；得知
find out,"na. 查出；发现；看清…的面目；识破
"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
kangaroo,"n. 袋鼠
"
koala,n. 袋熊
sport-lover,无
Australian football,= Australian rules football
exciting,"a. 令人兴奋的, 刺激的
"
Sydney,n. 悉尼（澳大利亚港市）
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
visitor,"n. 参观者, 游客, 访客
"
for example,例如
London,[网络] 伦敦；英文单词伦敦；五环及英文单词伦敦
Oxford,"n. 牛津, 牛津大学"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
Big Ben,"n. 英国伦敦议会大厦顶的大钟, 美国得州西南部的国立大本德公园(Big Bend National Park)"
London Eye, 伦敦眼
Tower Bridge,n. 塔桥（在英国伦敦泰晤士河上的两端各有一塔）
What do you think?,你认为如何
month,"n. 月
"
summer holiday,"n. 暑假
"
go back to,回去
how long, 多久; 多长
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
Disneyland,n. 迪斯尼乐园
Ocean Park,[地名] 欧申帕克 ( 加、美 )
Taipei,[网络] 台北；台湾；台北市
photo,"n. 相片, 照片, 逼真的描绘
v. 照相
a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
traveller,"n. 旅行者
"
travel around the world,"na. 作环球旅行
"
different,"a. 不同的
"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
future,"n. 未来, 将来
a. 将来的, 未来的"
care about,担心
tooth,"n. 牙齿, 齿状物, 爱好
vt. 装以齿, 将...切成齿状
vi. 啮合"
astronaut,"n. 太空旅行者, 宇航员
"
spaceship,n. 宇宙飞船
football player, [体]足球运动员
World Cup,n. 世界杯
dancer,"n. 舞蹈演员, 跳舞者"
pianist,"n. 钢琴家, 钢琴演奏者"
come true,"实现, 成为事实"
take care of,"照顾
"
scientist,"n. 科学家
"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
artist,"n. 艺术家, 画家"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
